#Z	A	N	Yield	Uncertainty
53	136	83	0.018032	0.0032966
54	136	82	0.013222	0.0037422
55	136	81	6.29E-05	4.23E-05
55	136	81	1.07E-04	7.23E-05
56	136	80	7.03E-08	4.51E-08
56	136	80	1.65E-07	1.06E-07
57	136	79	4.59E-12	2.94E-12
57	136	79	4.59E-12	2.94E-12
50	137	87	2.56E-10	9.41E-11
51	137	86	2.81E-06	1.03E-06
52	137	85	0.0010815	3.63E-04
53	137	84	0.037443	0.0044308
54	137	83	0.0083608	0.0044868
55	137	82	0.0019393	8.43E-04
56	137	81	2.74E-06	1.01E-06
56	137	81	6.61E-06	2.44E-06
57	137	80	1.85E-09	6.80E-10
51	138	87	8.74E-08	3.14E-08
52	138	86	1.52E-04	5.36E-05
53	138	85	0.012787	0.0026742
54	138	84	0.034246	0.0042048
55	138	83	0.0021048	0.00114
55	138	83	0.0029867	0.0016177
56	138	82	1.57E-04	5.70E-05
57	138	81	9.64E-08	3.47E-08
58	138	80	8.18E-13	2.94E-13
58	138	80	1.92E-12	6.89E-13
51	139	88	2.09E-09	7.38E-10
52	139	87	1.09E-05	3.85E-06
53	139	86	0.0034667	9.67E-04
54	139	85	0.04648	0.0052244
55	139	84	0.0075828	0.0051616
56	139	83	0.0011697	4.46E-04
57	139	82	3.70E-06	1.31E-06
58	139	81	9.58E-11	3.38E-11
58	139	81	2.31E-10	8.17E-11
52	140	88	5.60E-07	1.93E-07
53	140	87	4.33E-04	1.43E-04
54	140	86	0.028327	0.0043519
55	140	85	0.024224	0.0049696
56	140	84	0.0045344	0.0021156
57	140	83	5.41E-05	1.88E-05
58	140	82	2.29E-08	7.90E-09
52	141	89	1.33E-08	5.26E-09
53	141	88	4.53E-05	1.78E-05
54	141	87	0.0065457	0.0018164
55	141	86	0.049456	0.0051308
56	141	85	0.0056637	0.0045329
57	141	84	4.96E-04	2.04E-04
58	141	83	6.21E-07	2.45E-07
59	141	82	3.54E-11	1.40E-11
52	142	90	2.64E-10	9.14E-11
53	142	89	2.63E-06	9.09E-07
54	142	88	0.0013858	4.34E-04
55	142	87	0.036144	0.0050585
56	142	86	0.017517	0.0052811
57	142	85	0.0024578	9.72E-04
58	142	84	1.56E-05	5.39E-06
59	142	83	7.87E-10	2.72E-10
59	142	83	1.84E-09	6.37E-10
53	143	90	1.02E-07	3.71E-08
54	143	89	1.47E-04	5.30E-05
55	143	88	0.016839	0.0034242
56	143	87	0.040987	0.0052574
57	143	86	0.0056831	0.0037241
58	143	85	1.85E-04	6.88E-05
59	143	84	1.53E-07	5.59E-08
60	143	83	3.64E-12	1.33E-12
53	144	91	1.39E-09	5.46E-10
54	144	90	9.80E-06	3.84E-06
55	144	89	0.001243	4.10E-04
55	144	89	0.001243	4.10E-04
56	144	88	0.048852	0.0052596
57	144	87	0.0075061	0.0051389
58	144	86	0.0012519	5.55E-04
59	144	85	3.55E-07	1.39E-07
59	144	85	3.16E-06	1.24E-06
60	144	84	4.19E-10	1.64E-10
54	145	91	3.65E-07	1.31E-07
55	145	90	3.85E-04	1.34E-04
56	145	89	0.020104	0.0037911
57	145	88	0.030428	0.0046326
58	145	87	0.0039625	0.0019496
59	145	86	6.52E-05	2.36E-05
60	145	85	2.39E-08	8.58E-09
54	146	92	1.01E-08	3.90E-09
55	146	91	2.99E-05	1.15E-05
56	146	90	0.005914	0.0016305
57	146	89	0.0155	0.0016241
57	146	89	0.027882	0.0029213
58	146	88	0.0043035	0.0041495
59	146	87	4.58E-04	1.87E-04
60	146	86	8.10E-07	3.14E-07
61	146	85	4.04E-11	1.56E-11
54	147	93	9.28E-11	3.39E-11
55	147	92	1.38E-06	5.04E-07
56	147	91	6.55E-04	2.25E-04
57	147	90	0.026548	0.0037035
58	147	89	0.013428	0.0038413
59	147	88	0.0020586	9.48E-04
60	147	87	1.36E-05	4.99E-06
61	147	86	3.45E-09	1.26E-09
55	148	93	3.37E-08	1.43E-08
56	148	92	7.44E-05	3.12E-05
57	148	91	0.0077057	0.0020375
58	148	90	0.035864	0.0037667
59	148	89	4.73E-04	5.12E-04
59	148	89	0.0019899	0.0021552
60	148	88	1.80E-04	7.90E-05
61	148	87	4.34E-08	1.84E-08
61	148	87	1.02E-07	4.31E-08
62	148	86	5.31E-12	2.25E-12
55	149	94	4.25E-10	1.53E-10
56	149	93	2.81E-06	1.01E-06
57	149	92	9.97E-04	3.23E-04
58	149	91	0.016783	0.0023789
59	149	90	0.0072984	0.00239
60	149	89	6.87E-04	2.66E-04
61	149	88	2.74E-06	9.85E-07
62	149	87	3.07E-10	1.11E-10
55	150	95	2.45E-12	1.27E-12
56	150	94	7.95E-08	4.10E-08
57	150	93	7.75E-05	3.92E-05
58	150	92	0.0059722	0.0017285
59	150	91	0.0091657	0.0025069
60	150	90	0.0014323	0.0010754
61	150	89	2.40E-05	1.24E-05
62	150	88	1.31E-08	6.75E-09
56	151	95	1.65E-09	6.53E-10
57	151	94	7.56E-06	2.99E-06
58	151	93	0.0012471	4.19E-04
59	151	92	0.014109	0.0016969
60	151	91	0.0033652	0.0015506
61	151	90	2.43E-04	9.94E-05
62	151	89	4.08E-07	1.62E-07
63	151	88	3.17E-11	1.26E-11
56	152	96	3.90E-11	1.39E-11
57	152	95	5.25E-07	1.87E-07
58	152	94	3.55E-04	1.20E-04
59	152	93	0.011837	0.0018709
60	152	92	0.0098829	0.001988
61	152	91	2.66E-04	1.05E-04
61	152	91	5.32E-04	2.10E-04
61	152	91	5.88E-04	2.32E-04
62	152	90	1.17E-05	4.18E-06
63	152	89	2.71E-10	9.63E-11
63	152	89	1.14E-09	4.04E-10
63	152	89	1.27E-09	4.51E-10
57	153	96	1.02E-08	3.72E-09
58	153	95	1.89E-05	6.87E-06
59	153	94	0.0021647	5.98E-04
60	153	93	0.0084254	0.001091
61	153	92	0.0024284	8.60E-04
62	153	91	1.73E-05	6.38E-06
62	153	91	4.18E-05	1.54E-05
63	153	90	6.25E-08	2.29E-08
64	153	89	1.93E-12	7.07E-13
57	154	97	9.85E-11	5.04E-11
58	154	96	8.46E-07	4.33E-07
59	154	95	2.37E-04	1.13E-04
60	154	94	0.0046222	0.0011699
61	154	93	0.0012545	5.04E-04
61	154	93	0.0012545	5.04E-04
62	154	92	2.34E-04	1.25E-04
63	154	91	3.50E-07	1.79E-07
63	154	91	3.89E-07	1.99E-07
64	154	90	1.08E-10	5.51E-11
57	155	98	1.19E-12	4.46E-13
58	155	97	3.01E-08	1.13E-08
59	155	96	3.61E-05	1.35E-05
60	155	95	0.0016596	4.67E-04
61	155	94	0.0045866	6.14E-04
62	155	93	7.69E-04	2.87E-04
63	155	92	1.09E-05	4.09E-06
64	155	91	1.35E-09	5.09E-10
64	155	91	3.27E-09	1.23E-09
58	156	98	8.12E-10	2.99E-10
59	156	97	2.75E-06	1.01E-06
60	156	96	5.00E-04	1.65E-04
61	156	95	0.0037942	5.59E-04
62	156	94	0.0018298	5.22E-04
63	156	93	7.06E-05	2.61E-05
64	156	92	1.35E-07	4.99E-08
65	156	91	2.84E-12	1.05E-12
65	156	91	4.11E-12	1.51E-12
58	157	99	1.07E-11	3.97E-12
59	157	98	1.62E-07	6.02E-08
60	157	97	7.53E-05	2.74E-05
61	157	96	0.0022971	4.85E-04
62	157	95	0.0024868	5.02E-04
63	157	94	3.27E-04	1.21E-04
64	157	93	1.75E-06	6.50E-07
65	157	92	4.48E-10	1.67E-10
59	158	99	3.78E-09	1.82E-09
60	158	98	7.57E-06	3.63E-06
61	158	97	5.48E-04	2.23E-04
62	158	96	0.0024676	5.23E-04
63	158	95	6.06E-04	2.72E-04
64	158	94	1.39E-05	6.69E-06
65	158	93	1.00E-09	4.82E-10
65	158	93	8.90E-09	4.28E-09
59	159	100	1.07E-10	3.86E-11
60	159	99	5.85E-07	2.11E-07
61	159	98	1.64E-04	5.59E-05
62	159	97	0.0018597	3.25E-04
63	159	96	0.0014745	3.21E-04
64	159	95	8.06E-05	2.89E-05
65	159	94	2.46E-07	8.90E-08
66	159	93	2.29E-11	8.26E-12
60	160	100	2.38E-08	1.05E-08
61	160	99	1.72E-05	7.59E-06
62	160	98	7.51E-04	2.48E-04
63	160	97	0.0013403	3.14E-04
64	160	96	2.48E-04	1.03E-04
65	160	95	2.00E-06	8.90E-07
66	160	94	8.18E-10	3.63E-10
60	161	101	5.71E-10	2.15E-10
61	161	100	1.78E-06	6.70E-07
62	161	99	1.85E-04	6.37E-05
63	161	98	0.0012915	1.72E-04
64	161	97	4.89E-04	1.41E-04
65	161	96	1.52E-05	5.84E-06
66	161	95	1.72E-08	6.48E-09
61	162	101	7.32E-08	3.25E-08
62	162	100	3.10E-05	1.35E-05
63	162	99	5.19E-04	1.55E-04
64	162	98	6.75E-04	1.60E-04
65	162	97	4.43E-05	2.10E-05
66	162	96	2.27E-07	1.01E-07
67	162	95	9.89E-12	4.39E-12
67	162	95	2.32E-11	1.03E-11
61	163	102	2.47E-09	1.16E-09
62	163	101	2.78E-06	1.30E-06
63	163	100	1.83E-04	6.91E-05
64	163	99	5.68E-04	1.16E-04
65	163	98	9.93E-05	5.18E-05
66	163	97	1.54E-06	7.21E-07
67	163	96	1.30E-10	6.09E-11
67	163	96	8.50E-10	3.99E-10
62	164	102	2.00E-07	9.27E-08
63	164	101	3.19E-05	1.39E-05
64	164	100	3.86E-04	8.00E-05
65	164	99	1.36E-04	5.98E-05
66	164	98	8.24E-06	3.82E-06
67	164	97	4.27E-09	1.98E-09
67	164	97	1.00E-08	4.63E-09
68	164	96	1.18E-12	5.46E-13
62	165	103	7.67E-09	3.30E-09
63	165	102	5.02E-06	2.13E-06
64	165	101	1.34E-04	4.02E-05
65	165	100	1.97E-04	5.03E-05
66	165	99	3.19E-06	1.34E-06
66	165	99	2.09E-05	8.77E-06
67	165	98	1.75E-07	7.52E-08
68	165	97	3.99E-11	1.72E-11
63	166	103	3.80E-07	1.60E-07
64	166	102	3.71E-05	1.36E-05
65	166	101	1.41E-04	3.22E-05
66	166	100	5.44E-05	1.99E-05
67	166	99	2.99E-07	1.26E-07
67	166	99	7.01E-07	2.96E-07
68	166	98	9.91E-10	4.19E-10
63	167	104	2.16E-08	8.96E-09
64	167	103	5.19E-06	2.09E-06
65	167	102	7.65E-05	1.98E-05
66	167	101	6.16E-05	1.83E-05
67	167	100	4.28E-06	1.75E-06
68	167	99	1.50E-09	6.23E-10
68	167	99	9.83E-09	4.08E-09
69	167	98	1.47E-12	6.11E-13
64	168	104	6.06E-07	2.48E-07
65	168	103	2.15E-05	7.52E-06
66	168	102	5.87E-05	1.21E-05
67	168	101	3.82E-06	1.48E-06
67	168	101	5.43E-06	2.10E-06
68	168	100	1.01E-07	4.15E-08
69	168	99	3.61E-11	1.48E-11
64	169	105	3.63E-08	1.45E-08
65	169	104	5.13E-06	1.93E-06
66	169	103	3.08E-05	6.91E-06
67	169	102	1.67E-05	5.30E-06
68	169	101	4.54E-07	1.80E-07
69	169	100	6.99E-10	2.79E-10
65	170	105	5.94E-07	2.32E-07
66	170	104	1.31E-05	3.60E-06
67	170	103	4.51E-06	1.14E-06
67	170	103	1.06E-05	2.67E-06
68	170	102	1.54E-06	5.88E-07
69	170	101	6.24E-09	2.46E-09
70	170	100	1.27E-12	5.02E-13
65	171	106	5.34E-08	2.13E-08
66	171	105	2.85E-06	1.02E-06
67	171	104	1.12E-05	2.17E-06
68	171	103	2.55E-06	9.29E-07
69	171	102	4.23E-08	1.69E-08
70	171	101	3.12E-12	1.25E-12
70	171	101	2.04E-11	8.18E-12
66	172	106	5.32E-07	2.01E-07
67	172	105	4.66E-06	1.13E-06
68	172	104	3.62E-06	1.02E-06
69	172	103	1.46E-07	5.67E-08
70	172	102	3.49E-10	1.37E-10
66	173	107	4.88E-08	1.90E-08
67	173	106	1.60E-06	4.82E-07
68	173	105	2.63E-06	5.94E-07
69	173	104	3.92E-07	1.45E-07
70	173	103	2.44E-09	9.54E-10
67	174	107	2.76E-07	1.02E-07
68	174	106	1.56E-06	3.06E-07
69	174	105	5.12E-07	1.76E-07
70	174	104	1.28E-08	5.06E-09
71	174	103	3.32E-12	1.32E-12
71	174	103	7.78E-12	3.09E-12
67	175	108	4.03E-08	1.54E-08
68	175	107	5.18E-07	1.39E-07
69	175	106	5.75E-07	1.45E-07
70	175	105	4.56E-09	1.75E-09
70	175	105	2.98E-08	1.14E-08
71	175	104	1.27E-10	4.94E-11
68	176	108	1.44E-07	4.70E-08
69	176	107	3.39E-07	7.12E-08
70	176	106	2.62E-08	9.44E-09
70	176	106	4.72E-08	1.70E-08
71	176	105	2.49E-10	9.74E-11
71	176	105	4.48E-10	1.75E-10
68	177	109	1.97E-08	7.43E-09
69	177	108	1.63E-07	3.39E-08
70	177	107	1.43E-08	4.59E-09
70	177	107	6.19E-08	1.99E-08
71	177	106	2.57E-11	1.01E-11
71	177	106	7.95E-10	3.11E-10
71	177	106	2.03E-09	7.97E-10
72	177	105	4.12E-14	1.62E-14
72	177	105	1.06E-12	4.20E-13
72	177	105	2.74E-12	1.08E-12
69	178	109	4.29E-08	1.28E-08
70	178	108	6.78E-08	1.53E-08
71	178	107	2.80E-09	1.06E-09
71	178	107	3.17E-09	1.21E-09
72	178	106	1.80E-12	7.04E-13
72	178	106	1.21E-11	4.73E-12
72	178	106	1.99E-11	7.80E-12
69	179	110	9.61E-09	3.34E-09
70	179	109	3.25E-08	6.67E-09
71	179	108	1.35E-09	4.64E-10
71	179	108	8.82E-09	3.04E-09
72	179	107	2.75E-11	1.07E-11
72	179	107	3.08E-11	1.21E-11
72	179	107	8.81E-11	3.44E-11
70	180	110	1.27E-08	2.90E-09
71	180	109	2.44E-09	7.14E-10
71	180	109	2.44E-09	7.14E-10
71	180	109	3.59E-09	1.05E-09
72	180	108	1.69E-10	6.52E-11
72	180	108	3.03E-10	1.17E-10
70	181	111	2.65E-09	8.60E-10
71	181	110	5.97E-09	1.23E-09
72	181	109	7.68E-10	2.89E-10
73	181	108	6.65E-12	2.62E-12
71	182	111	2.33E-09	4.84E-10
72	182	110	3.73E-10	1.20E-10
72	182	110	6.70E-10	2.15E-10
73	182	109	6.29E-12	2.44E-12
73	182	109	8.09E-12	3.14E-12
73	182	109	8.26E-12	3.20E-12
71	183	112	7.36E-10	1.89E-10
72	183	111	7.01E-10	1.85E-10
73	183	110	5.79E-11	2.20E-11
71	184	113	1.22E-10	4.24E-11
72	184	112	1.41E-10	2.74E-11
72	184	112	2.53E-10	4.93E-11
73	184	111	7.35E-11	2.70E-11
72	185	113	1.24E-10	2.82E-11
73	185	112	2.59E-11	7.67E-12
73	185	112	5.35E-11	1.58E-11
74	185	111	7.56E-13	2.92E-13
74	185	111	1.83E-12	7.06E-13
72	186	114	3.19E-11	9.12E-12
73	186	113	4.33E-11	1.03E-11
74	186	112	1.28E-12	4.80E-13
74	186	112	3.97E-12	1.49E-12
72	187	115	1.77E-11	3.45E-12
73	187	114	3.92E-12	1.37E-12
73	188	115	4.92E-12	1.25E-12
74	188	114	4.50E-12	1.21E-12
73	189	116	1.03E-12	3.23E-13
74	189	115	2.00E-12	4.34E-13
